Value,Time Span,Rate of Change,Timestamp
"2,421.70",13:18:28,-34.35 ((-1.40%)),2025-04-04 13:18:30
"2,423.45",13:19:11,-32.60 ((-1.33%)),2025-04-04 13:19:17
"2,422.75",13:19:55,-33.30 ((-1.36%)),2025-04-04 13:20:03
"2,422.85",13:18:33,-33.20 ((-1.35%)),2025-04-04 13:20:50
"2,422.00",13:20:12,-34.05 ((-1.39%)),2025-04-04 13:21:36
"2,425.50",13:22:23,-30.55 ((-1.24%)),2025-04-04 13:22:26
"2,425.50",13:22:50,-30.55 ((-1.24%)),2025-04-04 13:23:14
"2,425.25",13:24:51,-30.80 ((-1.25%)),2025-04-04 13:26:37
"2,424.65",13:26:40,-31.40 ((-1.28%)),2025-04-04 13:27:18
"2,425.15",13:28:30,-30.90 ((-1.26%)),2025-04-04 13:30:32
"2,425.40",13:30:09,-30.65 ((-1.25%)),2025-04-04 13:31:01
"2,425.40",13:30:09,-30.65 ((-1.25%)),2025-04-04 13:31:31
"2,425.40",13:30:09,-30.65 ((-1.25%)),2025-04-04 13:31:58
"2,424.70",13:31:14,-31.35 ((-1.28%)),2025-04-04 13:32:26
"2,424.70",13:31:14,-31.35 ((-1.28%)),2025-04-04 13:32:54
"2,424.75",13:31:53,-31.30 ((-1.27%)),2025-04-04 13:33:21
"2,429.75",13:01:57,-26.30 ((-1.07%)),2025-04-04 13:33:48
"2,424.60",13:34:21,-31.45 ((-1.28%)),2025-04-04 13:36:14
"2,425.15",13:35:10,-30.90 ((-1.26%)),2025-04-04 13:37:00
"2,424.75",13:36:16,-31.30 ((-1.27%)),2025-04-04 13:37:33
"2,424.60",13:39:11,-31.45 ((-1.28%)),2025-04-04 13:39:20
"2,425.00",13:38:16,-31.05 ((-1.26%)),2025-04-04 13:40:06
"2,424.75",13:40:39,-31.30 ((-1.27%)),2025-04-04 13:40:53
"2,426.10",13:41:39,-29.95 ((-1.22%)),2025-04-04 13:41:44
"2,426.75",13:42:17,-29.30 ((-1.19%)),2025-04-04 13:42:30
"2,426.05",13:43:12,-30.00 ((-1.22%)),2025-04-04 13:43:17
"2,426.75",13:42:17,-29.30 ((-1.19%)),2025-04-04 13:44:02
"2,426.20",13:44:29,-29.85 ((-1.22%)),2025-04-04 13:44:48
"2,426.15",13:45:23,-29.90 ((-1.22%)),2025-04-04 13:45:33
"2,426.70",13:46:13,-29.35 ((-1.20%)),2025-04-04 13:46:28
"2,426.70",13:46:57,-29.35 ((-1.20%)),2025-04-04 13:47:15
"2,426.50",13:46:29,-29.55 ((-1.20%)),2025-04-04 13:48:00
"2,426.15",13:48:24,-29.90 ((-1.22%)),2025-04-04 13:48:46
"2,426.10",13:49:19,-29.95 ((-1.22%)),2025-04-04 13:49:30
"2,426.15",13:50:14,-29.90 ((-1.22%)),2025-04-04 13:50:17
"2,427.70",13:54:09,-28.35 ((-1.15%)),2025-04-04 13:54:10
"2,428.75",13:55:04,-27.30 ((-1.11%)),2025-04-04 13:55:08
"2,428.20",13:55:48,-27.85 ((-1.13%)),2025-04-04 13:56:06
"2,428.45",13:56:54,-27.60 ((-1.12%)),2025-04-04 13:57:04
"2,428.70",13:57:37,-27.35 ((-1.11%)),2025-04-04 13:58:00
"2,428.60",13:57:04,-27.45 ((-1.12%)),2025-04-04 13:58:53
"2,428.70",13:57:37,-27.35 ((-1.11%)),2025-04-04 13:59:46
"2,429.00",14:00:27,-27.05 ((-1.10%)),2025-04-04 14:00:39
"2,429.15",14:00:16,-26.90 ((-1.10%)),2025-04-04 14:01:52
"2,428.95",14:01:22,-27.10 ((-1.10%)),2025-04-04 14:02:37
"2,427.85",14:03:06,-28.20 ((-1.15%)),2025-04-04 14:03:23
"2,428.10",14:03:55,-27.95 ((-1.14%)),2025-04-04 14:04:11
"2,427.55",14:04:50,-28.50 ((-1.16%)),2025-04-04 14:04:55
"2,426.85",14:05:22,-29.20 ((-1.19%)),2025-04-04 14:05:40
"2,425.25",14:08:23,-30.80 ((-1.25%)),2025-04-04 14:08:45
"2,425.65",14:10:23,-30.40 ((-1.24%)),2025-04-04 14:10:26
"2,426.10",14:11:07,-29.95 ((-1.22%)),2025-04-04 14:11:10
"2,425.60",14:11:51,-30.45 ((-1.24%)),2025-04-04 14:11:56
"2,425.55",14:12:29,-30.50 ((-1.24%)),2025-04-04 14:12:46
"2,425.60",14:11:51,-30.45 ((-1.24%)),2025-04-04 14:13:33
"2,425.15",14:16:04,-30.90 ((-1.26%)),2025-04-04 14:16:23
"2,425.60",14:17:26,-30.45 ((-1.24%)),2025-04-04 14:17:46
"2,425.60",14:17:26,-30.45 ((-1.24%)),2025-04-04 14:18:08
"2,424.65",14:18:49,-31.40 ((-1.28%)),2025-04-04 14:18:56
"2,425.40",14:18:16,-30.65 ((-1.25%)),2025-04-04 14:19:39
"2,425.05",14:20:16,-31.00 ((-1.26%)),2025-04-04 14:20:25
"2,421.55",14:21:05,-34.50 ((-1.40%)),2025-04-04 14:21:31
"2,419.65",14:32:35,-36.40 ((-1.48%)),2025-04-04 14:35:01
"2,418.75",14:36:03,-37.30 ((-1.52%)),2025-04-04 14:36:05
"2,418.70",14:37:03,-37.35 ((-1.52%)),2025-04-04 14:37:13
"2,420.35",14:37:53,-35.70 ((-1.45%)),2025-04-04 14:37:57
"2,421.50",14:38:53,-34.55 ((-1.41%)),2025-04-04 14:39:02
"2,420.45",14:37:58,-35.60 ((-1.45%)),2025-04-04 14:39:46
"2,422.10",14:40:26,-33.95 ((-1.38%)),2025-04-04 14:40:30
"2,422.35",14:41:10,-33.70 ((-1.37%)),2025-04-04 14:41:13
"2,423.20",14:40:04,-32.85 ((-1.34%)),2025-04-04 14:41:56
"2,421.20",14:42:37,-34.85 ((-1.42%)),2025-04-04 14:42:40
"2,420.60",14:43:43,-35.45 ((-1.44%)),2025-04-04 14:43:51
"2,419.25",14:44:38,-36.80 ((-1.50%)),2025-04-04 14:44:42
"2,419.85",14:45:27,-36.20 ((-1.47%)),2025-04-04 14:45:34
"2,419.25",14:44:38,-36.80 ((-1.50%)),2025-04-04 14:46:28
"2,418.25",14:47:16,-37.80 ((-1.54%)),2025-04-04 14:47:27
"2,418.30",14:48:17,-37.75 ((-1.54%)),2025-04-04 14:48:18
"2,418.10",14:49:00,-37.95 ((-1.55%)),2025-04-04 14:49:09
"2,418.30",14:48:17,-37.75 ((-1.54%)),2025-04-04 14:49:59
"2,418.55",14:50:33,-37.50 ((-1.53%)),2025-04-04 14:50:50
"2,418.35",14:51:34,-37.70 ((-1.53%)),2025-04-04 14:51:42
"2,421.10",14:52:17,-34.95 ((-1.42%)),2025-04-04 14:52:33
"2,421.40",14:53:23,-34.65 ((-1.41%)),2025-04-04 14:53:25
"2,421.95",14:54:07,-34.10 ((-1.39%)),2025-04-04 14:54:23
"2,421.85",14:53:29,-34.20 ((-1.39%)),2025-04-04 14:55:13
"2,421.80",14:56:02,-34.25 ((-1.39%)),2025-04-04 14:56:18
"2,422.80",14:56:46,-33.25 ((-1.35%)),2025-04-04 14:57:21
"2,421.85",14:58:08,-34.20 ((-1.39%)),2025-04-04 14:58:11
"2,422.05",14:58:57,-34.00 ((-1.38%)),2025-04-04 14:59:02
"2,422.45",14:59:41,-33.60 ((-1.37%)),2025-04-04 14:59:53
"2,421.60",15:06:59,-34.45 ((-1.40%)),2025-04-04 15:07:09
"2,421.10",15:07:54,-34.95 ((-1.42%)),2025-04-04 15:08:02
"2,420.35",15:08:54,-35.70 ((-1.45%)),2025-04-04 15:08:57
"2,422.40",15:09:49,-33.65 ((-1.37%)),2025-04-04 15:09:51
"2,422.80",15:10:33,-33.25 ((-1.35%)),2025-04-04 15:10:42
"2,423.65",15:11:28,-32.40 ((-1.32%)),2025-04-04 15:11:32
"2,423.85",15:12:39,-32.20 ((-1.31%)),2025-04-04 15:13:00
"2,423.20",15:13:39,-32.85 ((-1.34%)),2025-04-04 15:13:51
"2,422.40",15:14:56,-33.65 ((-1.37%)),2025-04-04 15:14:57
"2,422.55",15:15:39,-33.50 ((-1.36%)),2025-04-04 15:15:47
"2,422.40",15:14:56,-33.65 ((-1.37%)),2025-04-04 15:16:38
"2,422.75",15:17:23,-33.30 ((-1.36%)),2025-04-04 15:17:28
"2,422.55",15:15:39,-33.50 ((-1.36%)),2025-04-04 15:18:18
"2,423.25",15:18:57,-32.80 ((-1.34%)),2025-04-04 15:19:09
"2,423.50",15:19:57,-32.55 ((-1.33%)),2025-04-04 15:19:58
"2,424.95",15:20:41,-31.10 ((-1.27%)),2025-04-04 15:20:47
"2,426.15",15:21:35,-29.90 ((-1.22%)),2025-04-04 15:21:37
"2,426.02",15:22:19,-30.03 ((-1.22%)),2025-04-04 15:22:27
"2,427.20",15:23:30,-28.85 ((-1.17%)),2025-04-04 15:23:50
"2,425.95",15:25:42,-30.10 ((-1.23%)),2025-04-04 15:25:51
"2,423.60",15:26:25,-32.45 ((-1.32%)),2025-04-04 15:26:36
"2,425.95",15:25:42,-30.10 ((-1.23%)),2025-04-04 15:27:20
"2,423.60",15:28:04,-32.45 ((-1.32%)),2025-04-04 15:28:04
"2,422.90",15:28:48,-33.15 ((-1.35%)),2025-04-04 15:28:49
"2,423.80",15:29:26,-32.25 ((-1.31%)),2025-04-04 15:29:36
"2,425.75",15:30:15,-30.30 ((-1.23%)),2025-04-04 15:30:21
"2,427.20",15:31:32,-28.85 ((-1.17%)),2025-04-04 15:31:35
"2,424.85",15:32:16,-31.20 ((-1.27%)),2025-04-04 15:32:18
"2,426.55",15:32:54,-29.50 ((-1.20%)),2025-04-04 15:33:00
"2,426.00",15:33:22,-30.05 ((-1.22%)),2025-04-04 15:33:46
"2,426.55",15:32:54,-29.50 ((-1.20%)),2025-04-04 15:34:27
"2,424.50",15:35:06,-31.55 ((-1.28%)),2025-04-04 15:35:08
